 gdp_for_year ($) ,HDI for year,age,country,gdp_per_capita ($),generation,population,sex,suicides/100k pop,suicides_no,year
"2,156,624,900",,15-24 years,Albania,796,Generation X,312900,male,6.71,21,1987
"2,156,624,900",,35-54 years,Albania,796,Silent,308000,male,5.19,16,1987
"2,156,624,900",,15-24 years,Albania,796,Generation X,289700,female,4.83,14,1987
"2,156,624,900",,75+ years,Albania,796,G.I. Generation,21800,male,4.59,1,1987
"2,156,624,900",,25-34 years,Albania,796,Boomers,274300,male,3.28,9,1987
"2,156,624,900",,75+ years,Albania,796,G.I. Generation,35600,female,2.81,1,1987
"2,156,624,900",,35-54 years,Albania,796,Silent,278800,female,2.15,6,1987
"2,156,624,900",,25-34 years,Albania,796,Boomers,257200,female,1.56,4,1987
"2,156,624,900",,55-74 years,Albania,796,G.I. Generation,137500,male,0.73,1,1987
"2,156,624,900",,5-14 years,Albania,796,Generation X,311000,female,0,0,1987
"2,156,624,900",,55-74 years,Albania,796,G.I. Generation,144600,female,0,0,1987
"2,156,624,900",,5-14 years,Albania,796,Generation X,338200,male,0,0,1987
"2,126,000,000",,75+ years,Albania,769,G.I. Generation,36400,female,5.49,2,1988
"2,126,000,000",,15-24 years,Albania,769,Generation X,319200,male,5.33,17,1988
"2,126,000,000",,75+ years,Albania,769,G.I. Generation,22300,male,4.48,1,1988
"2,126,000,000",,35-54 years,Albania,769,Silent,314100,male,4.46,14,1988
"2,126,000,000",,55-74 years,Albania,769,G.I. Generation,140200,male,2.85,4,1988
"2,126,000,000",,15-24 years,Albania,769,Generation X,295600,female,2.71,8,1988
"2,126,000,000",,55-74 years,Albania,769,G.I. Generation,147500,female,2.03,3,1988
"2,126,000,000",,25-34 years,Albania,769,Boomers,262400,female,1.91,5,1988
"2,126,000,000",,25-34 years,Albania,769,Boomers,279900,male,1.79,5,1988
"2,126,000,000",,35-54 years,Albania,769,Silent,284500,female,1.41,4,1988
"2,126,000,000",,5-14 years,Albania,769,Generation X,317200,female,0,0,1988
