country,year,population,sex,age, gdp_for_year ($) ,HDI for year,gdp_per_capita ($),generation,suicides/100k pop,suicides_no,region_y,sub-region_y
Albania,1987,312900.0,male,15-24 years,"2,156,624,900",,796.0,Generation X,6.71,21.0,Europe,Southern Europe
Albania,1987,308000.0,male,35-54 years,"2,156,624,900",,796.0,Silent,5.19,16.0,Europe,Southern Europe
Albania,1987,289700.0,female,15-24 years,"2,156,624,900",,796.0,Generation X,4.83,14.0,Europe,Southern Europe
Albania,1987,21800.0,male,75+ years,"2,156,624,900",,796.0,G.I. Generation,4.59,1.0,Europe,Southern Europe
Albania,1987,274300.0,male,25-34 years,"2,156,624,900",,796.0,Boomers,3.28,9.0,Europe,Southern Europe
Albania,1987,35600.0,female,75+ years,"2,156,624,900",,796.0,G.I. Generation,2.81,1.0,Europe,Southern Europe
Albania,1987,278800.0,female,35-54 years,"2,156,624,900",,796.0,Silent,2.15,6.0,Europe,Southern Europe
Albania,1987,257200.0,female,25-34 years,"2,156,624,900",,796.0,Boomers,1.56,4.0,Europe,Southern Europe
Albania,1987,137500.0,male,55-74 years,"2,156,624,900",,796.0,G.I. Generation,0.73,1.0,Europe,Southern Europe
Albania,1987,311000.0,female,5-14 years,"2,156,624,900",,796.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1987,144600.0,female,55-74 years,"2,156,624,900",,796.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1987,338200.0,male,5-14 years,"2,156,624,900",,796.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1988,36400.0,female,75+ years,"2,126,000,000",,769.0,G.I. Generation,5.49,2.0,Europe,Southern Europe
Albania,1988,319200.0,male,15-24 years,"2,126,000,000",,769.0,Generation X,5.33,17.0,Europe,Southern Europe
Albania,1988,22300.0,male,75+ years,"2,126,000,000",,769.0,G.I. Generation,4.48,1.0,Europe,Southern Europe
Albania,1988,314100.0,male,35-54 years,"2,126,000,000",,769.0,Silent,4.46,14.0,Europe,Southern Europe
Albania,1988,140200.0,male,55-74 years,"2,126,000,000",,769.0,G.I. Generation,2.85,4.0,Europe,Southern Europe
Albania,1988,295600.0,female,15-24 years,"2,126,000,000",,769.0,Generation X,2.71,8.0,Europe,Southern Europe
Albania,1988,147500.0,female,55-74 years,"2,126,000,000",,769.0,G.I. Generation,2.03,3.0,Europe,Southern Europe
Albania,1988,262400.0,female,25-34 years,"2,126,000,000",,769.0,Boomers,1.91,5.0,Europe,Southern Europe
Albania,1988,279900.0,male,25-34 years,"2,126,000,000",,769.0,Boomers,1.79,5.0,Europe,Southern Europe
Albania,1988,284500.0,female,35-54 years,"2,126,000,000",,769.0,Silent,1.41,4.0,Europe,Southern Europe
Albania,1988,317200.0,female,5-14 years,"2,126,000,000",,769.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1988,345000.0,male,5-14 years,"2,126,000,000",,769.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1989,22500.0,male,75+ years,"2,335,124,988",,833.0,G.I. Generation,8.89,2.0,Europe,Southern Europe
Albania,1989,283600.0,male,25-34 years,"2,335,124,988",,833.0,Boomers,6.35,18.0,Europe,Southern Europe
Albania,1989,318400.0,male,35-54 years,"2,335,124,988",,833.0,Silent,4.71,15.0,Europe,Southern Europe
Albania,1989,142100.0,male,55-74 years,"2,335,124,988",,833.0,G.I. Generation,4.22,6.0,Europe,Southern Europe
Albania,1989,323500.0,male,15-24 years,"2,335,124,988",,833.0,Generation X,3.71,12.0,Europe,Southern Europe
Albania,1989,288600.0,female,35-54 years,"2,335,124,988",,833.0,Silent,2.43,7.0,Europe,Southern Europe
Albania,1989,299900.0,female,15-24 years,"2,335,124,988",,833.0,Generation X,1.67,5.0,Europe,Southern Europe
Albania,1989,266300.0,female,25-34 years,"2,335,124,988",,833.0,Boomers,0.75,2.0,Europe,Southern Europe
Albania,1989,149600.0,female,55-74 years,"2,335,124,988",,833.0,G.I. Generation,0.67,1.0,Europe,Southern Europe
Albania,1989,321900.0,female,5-14 years,"2,335,124,988",,833.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1989,37000.0,female,75+ years,"2,335,124,988",,833.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1989,349700.0,male,5-14 years,"2,335,124,988",,833.0,Generation X,0.0,0.0,Europe,Southern Europe
Albania,1992,343800.0,male,35-54 years,"709,452,584",,251.0,Boomers,3.49,12.0,Europe,Southern Europe
Albania,1992,263700.0,male,15-24 years,"709,452,584",,251.0,Generation X,3.41,9.0,Europe,Southern Europe
Albania,1992,159500.0,male,55-74 years,"709,452,584",,251.0,Silent,3.13,5.0,Europe,Southern Europe
Albania,1992,245500.0,male,25-34 years,"709,452,584",,251.0,Boomers,2.85,7.0,Europe,Southern Europe
Albania,1992,292400.0,female,15-24 years,"709,452,584",,251.0,Generation X,2.39,7.0,Europe,Southern Europe
Albania,1992,267400.0,female,25-34 years,"709,452,584",,251.0,Boomers,1.5,4.0,Europe,Southern Europe
Albania,1992,323100.0,female,35-54 years,"709,452,584",,251.0,Boomers,0.62,2.0,Europe,Southern Europe
Albania,1992,164900.0,female,55-74 years,"709,452,584",,251.0,Silent,0.61,1.0,Europe,Southern Europe
Albania,1992,336700.0,female,5-14 years,"709,452,584",,251.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,1992,38700.0,female,75+ years,"709,452,584",,251.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1992,362900.0,male,5-14 years,"709,452,584",,251.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,1992,23900.0,male,75+ years,"709,452,584",,251.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1993,243300.0,male,15-24 years,"1,228,071,038",,437.0,Generation X,7.4,18.0,Europe,Southern Europe
Albania,1993,165000.0,male,55-74 years,"1,228,071,038",,437.0,Silent,4.24,7.0,Europe,Southern Europe
Albania,1993,24200.0,male,75+ years,"1,228,071,038",,437.0,G.I. Generation,4.13,1.0,Europe,Southern Europe
Albania,1993,230100.0,male,25-34 years,"1,228,071,038",,437.0,Boomers,3.91,9.0,Europe,Southern Europe
Albania,1993,285300.0,female,15-24 years,"1,228,071,038",,437.0,Generation X,3.51,10.0,Europe,Southern Europe
Albania,1993,350300.0,male,35-54 years,"1,228,071,038",,437.0,Boomers,2.85,10.0,Europe,Southern Europe
Albania,1993,261800.0,female,25-34 years,"1,228,071,038",,437.0,Boomers,2.67,7.0,Europe,Southern Europe
Albania,1993,331200.0,female,35-54 years,"1,228,071,038",,437.0,Boomers,2.11,7.0,Europe,Southern Europe
Albania,1993,169500.0,female,55-74 years,"1,228,071,038",,437.0,Silent,1.18,2.0,Europe,Southern Europe
Albania,1993,340300.0,female,5-14 years,"1,228,071,038",,437.0,Millenials,0.29,1.0,Europe,Southern Europe
Albania,1993,367000.0,male,5-14 years,"1,228,071,038",,437.0,Millenials,0.27,1.0,Europe,Southern Europe
Albania,1993,39300.0,female,75+ years,"1,228,071,038",,437.0,G.I. Generation,0.0,0.0,Europe,Southern Europe
Albania,1994,24600.0,male,75+ years,"1,985,673,798",,697.0,G.I. Generation,8.13,2.0,Europe,Southern Europe
Albania,1994,171400.0,male,55-74 years,"1,985,673,798",,697.0,Silent,6.42,11.0,Europe,Southern Europe
Albania,1994,39900.0,female,75+ years,"1,985,673,798",,697.0,G.I. Generation,5.01,2.0,Europe,Southern Europe
Albania,1994,231400.0,male,25-34 years,"1,985,673,798",,697.0,Boomers,2.59,6.0,Europe,Southern Europe
Albania,1994,362800.0,male,35-54 years,"1,985,673,798",,697.0,Boomers,2.48,9.0,Europe,Southern Europe
Albania,1994,242200.0,male,15-24 years,"1,985,673,798",,697.0,Generation X,2.48,6.0,Europe,Southern Europe
Albania,1994,282600.0,female,15-24 years,"1,985,673,798",,697.0,Generation X,2.12,6.0,Europe,Southern Europe
Albania,1994,261100.0,female,25-34 years,"1,985,673,798",,697.0,Boomers,1.53,4.0,Europe,Southern Europe
Albania,1994,342500.0,female,35-54 years,"1,985,673,798",,697.0,Boomers,0.58,2.0,Europe,Southern Europe
Albania,1994,174600.0,female,55-74 years,"1,985,673,798",,697.0,Silent,0.57,1.0,Europe,Southern Europe
Albania,1994,371800.0,male,5-14 years,"1,985,673,798",,697.0,Millenials,0.27,1.0,Europe,Southern Europe
Albania,1994,344400.0,female,5-14 years,"1,985,673,798",,697.0,Millenials,0.0,0.0,Europe,Southern Europe
Albania,1995,232900.0,male,25-34 years,"2,424,499,009",0.619,835.0,Generation X,5.58,13.0,Europe,Southern Europe
Albania,1995,178000.0,male,55-74 years,"2,424,499,009",0.619,835.0,Silent,5.06,9.0,Europe,Southern Europe
Albania,1995,40800.0,female,75+ years,"2,424,499,009",0.619,835.0,G.I. Generation,4.9,2.0,Europe,Southern Europe
Albania,1995,283500.0,female,15-24 years,"2,424,499,009",0.619,835.0,Generation X,4.59,13.0,Europe,Southern Europe
Albania,1995,241200.0,male,15-24 years,"2,424,499,009",0.619,835.0,Generation X,4.56,11.0,Europe,Southern Europe
Albania,1995,25100.0,male,75+ years,"2,424,499,009",0.619,835.0,G.I. Generation,3.98,1.0,Europe,Southern Europe
Albania,1995,375900.0,male,35-54 years,"2,424,499,009",0.619,835.0,Boomers,3.72,14.0,Europe,Southern Europe
Albania,1995,264000.0,female,25-34 years,"2,424,499,009",0.619,835.0,Generation X,2.65,7.0,Europe,Southern Europe
Albania,1995,356400.0,female,35-54 years,"2,424,499,009",0.619,835.0,Boomers,2.24,8.0,Europe,Southern Europe
Albania,1995,376500.0,male,5-14 years,"2,424,499,009",0.619,835.0,Millenials,1.59,6.0,Europe,Southern Europe
Albania,1995,180400.0,female,55-74 years,"2,424,499,009",0.619,835.0,Silent,1.11,2.0,Europe,Southern Europe
Albania,1995,348700.0,female,5-14 years,"2,424,499,009",0.619,835.0,Millenials,0.57,2.0,Europe,Southern Europe
Albania,1996,25400.0,male,75+ years,"3,314,898,292",,1127.0,G.I. Generation,7.87,2.0,Europe,Southern Europe
Albania,1996,243600.0,male,15-24 years,"3,314,898,292",,1127.0,Generation X,6.98,17.0,Europe,Southern Europe
Albania,1996,235300.0,male,25-34 years,"3,314,898,292",,1127.0,Generation X,5.95,14.0,Europe,Southern Europe
Albania,1996,287700.0,female,15-24 years,"3,314,898,292",,1127.0,Generation X,5.56,16.0,Europe,Southern Europe
Albania,1996,41200.0,female,75+ years,"3,314,898,292",,1127.0,G.I. Generation,4.85,2.0,Europe,Southern Europe
Albania,1996,267900.0,female,25-34 years,"3,314,898,292",,1127.0,Generation X,3.73,10.0,Europe,Southern Europe
Albania,1996,379600.0,male,35-54 years,"3,314,898,292",,1127.0,Boomers,3.16,12.0,Europe,Southern Europe
Albania,1996,362000.0,female,35-54 years,"3,314,898,292",,1127.0,Boomers,2.49,9.0,Europe,Southern Europe
Albania,1996,179900.0,male,55-74 years,"3,314,898,292",,1127.0,Silent,1.67,3.0,Europe,Southern Europe
Albania,1996,183100.0,female,55-74 years,"3,314,898,292",,1127.0,Silent,0.55,1.0,Europe,Southern Europe
Albania,1996,380400.0,male,5-14 years,"3,314,898,292",,1127.0,Millenials,0.53,2.0,Europe,Southern Europe
Albania,1996,354100.0,female,5-14 years,"3,314,898,292",,1127.0,Millenials,0.28,1.0,Europe,Southern Europe
Albania,1997,236000.0,male,25-34 years,"2,359,903,108",,793.0,Generation X,15.25,36.0,Europe,Southern Europe
Albania,1997,244400.0,male,15-24 years,"2,359,903,108",,793.0,Generation X,13.5,33.0,Europe,Southern Europe
Albania,1997,25400.0,male,75+ years,"2,359,903,108",,793.0,G.I. Generation,11.81,3.0,Europe,Southern Europe
Albania,1997,380800.0,male,35-54 years,"2,359,903,108",,793.0,Boomers,7.88,30.0,Europe,Southern Europe
Albania,1997,294000.0,female,15-24 years,"2,359,903,108",,793.0,Generation X,7.14,21.0,Europe,Southern Europe
Albania,1997,180300.0,male,55-74 years,"2,359,903,108",,793.0,Silent,6.66,12.0,Europe,Southern Europe
Albania,1997,273900.0,female,25-34 years,"2,359,903,108",,793.0,Generation X,5.84,16.0,Europe,Southern Europe
Albania,1997,42100.0,female,75+ years,"2,359,903,108",,793.0,G.I. Generation,4.75,2.0,Europe,Southern Europe
Albania,1997,370100.0,female,35-54 years,"2,359,903,108",,793.0,Boomers,1.89,7.0,Europe,Southern Europe
Albania,1997,361800.0,female,5-14 years,"2,359,903,108",,793.0,Millenials,1.66,6.0,Europe,Southern Europe
Albania,1997,381500.0,male,5-14 years,"2,359,903,108",,793.0,Millenials,1.05,4.0,Europe,Southern Europe
Albania,1997,187000.0,female,55-74 years,"2,359,903,108",,793.0,Silent,0.0,0.0,Europe,Southern Europe
Albania,1998,25800.0,male,75+ years,"2,707,123,772",,899.0,G.I. Generation,11.63,3.0,Europe,Southern Europe
Albania,1998,248800.0,male,15-24 years,"2,707,123,772",,899.0,Generation X,10.85,27.0,Europe,Southern Europe
Albania,1998,295600.0,female,15-24 years,"2,707,123,772",,899.0,Generation X,10.83,32.0,Europe,Southern Europe
Albania,1998,240400.0,male,25-34 years,"2,707,123,772",,899.0,Generation X,10.82,26.0,Europe,Southern Europe
